Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Peninsula Heights,1750000,Flat / Apartment,1232,2,2,2,93 Albert Embankment,London,SE1 7TY,1420.4545454545455
Liverpool Road,2895000,House,3660,6,6,6,Kingston upon Thames,Surrey,KT2 7SX,790.983606557377
Chester Close North,2350000,House,1844,4,4,4,Regent's Park,London,NW1 4JE,1274.403470715835
Elm Tree Court,1075000,Flat / Apartment,1142,3,3,3,Elm Tree Road,London,NW8 9JT,941.3309982486866
Gayville Road,1350000,House,1637,4,4,4,Unknown,London,SW11 6JW,824.679291386683
Green Street,2250000,Flat / Apartment,1348,2,2,2,Mayfair,London,W1K 6RG,1669.139465875371
Northstand Apartments,699950,Flat / Apartment,787,2,2,2,Highbury Stadium Square,London,N5 1FN,889.3900889453621
Highbury Hill,1425000,House,1761,3,3,3,Highbury,London,N5 1AU,809.1993185689948
Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET,825.426944971537
Pattison Road,2950000,House,3300,5,5,5,Unknown,London,NW2 2HJ,893.939393939394
Ternary Place,645000,New development,904,2,2,2, Ealing,London,W5 3HJ,713.4955752212389
Pavilion Park,995000,New development,1681,3,3,3, East Molesey,Surrey,KT8 9DX,591.9095776323617
Sheen Common Drive,5500000,House,5453,6,6,6,Richmond,Surrey,TW10 5BN,1008.6191087474784
Nightingale Square,2500000,House,2413,5,5,5,Unknown,London,SW12 8QJ,1036.0547036883547
Gaskarth Road,1200000,House,1585,4,4,4,Unknown,London,SW12 9NN,757.0977917981072
Cambridge Road,1750000,House,1891,5,5,5,Barnes,London,SW13 0PG,925.4362771020624
Mirabel Road,725000,Flat / Apartment,924,3,3,3,Fulham,London,SW6 7EH,784.6320346320347
Tyneham Road,850000,House,780,2,2,2,Battersea,London,SW11 5XR,1089.7435897435898
Princes Road,2249000,House,2600,5,5,5,Wimbledon,London,SW19 8RB,865.0
Old York Road,475000,Flat / Apartment,598,1,1,1,Unknown,London,SW18 1TQ,794.314381270903
Tritton House,525000,New development,558,1,1,1,3 Ryeland Boulevard,London,SW18 1UF,940.8602150537635
Gore Road,370000,Flat / Apartment,400,1,1,1,South Hackney,London,E9 7HW,925.0
Calvin Street,2500000,Flat / Apartment,2132,2,2,2,Spitalfields,London,E1 6NW,1172.607879924953
Hillside Rise,700000,Bungalow,1301,3,3,3,Northwood,Middlesex,HA6 1RR,538.0476556495004
Bennerley Road,1595000,House,2046,4,4,4,Unknown,London,SW11 6DR,779.5698924731183
Delaware Mansions,715000,Flat / Apartment,764,2,2,2, Maida Vale,London,W9 2LL,935.8638743455498
Carlton Mansions,985000,Flat / Apartment,978,2,2,2, Maida Vale,London,W9 1NR,1007.157464212679
Great Portland Street,4850000,Penthouse,1518,3,3,3,Fitzrovia,London,W1W 7LS,3194.9934123847165
The Uplands,1695000,House,3683,5,5,5,Loughton,Essex,IG10 1NH,460.2226445832202
High Silver,1095000,House,1728,4,4,4,Loughton,Essex,IG10 4EL,633.6805555555555
Monkhams Avenue,1325000,House,2659,5,5,5,Woodford Green,Essex,IG8 0ER,498.307634449041
Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA,557.7290836653386
Bromyard House,350000,Flat / Apartment,420,1,1,1, Acton,London,W3 7FG,833.3333333333334
Claremont Drive,2000000,House,3556,6,6,6,Esher,Surrey,KT10 9LU,562.429696287964
Lynwood Road,1095000,House,2442,5,5,5,Thames Ditton,Surrey,KT7 0DN,448.4029484029484
York Avenue,3250000,House,3467,6,6,6,East Sheen,London,SW14 7LQ,937.4098644361119
Badminton Road,899950,Flat / Apartment,939,2,2,2,Unknown,London,SW12 8BN,958.4132055378062
Landmark Place At Tower Bridge,2166000,New development,1236,2,2,2,Water Lane,London,EC3R 6EA,1752.4271844660195
Junction House,480000,New development,577,1,1,1, Battersea,London,SW11 2NU,831.8890814558059
Elsham Road,825000,Flat / Apartment,869,2,2,2,Brook Green,London,W14 8HB,949.367088607595
"Park Terrace, Warriner Gardens",2950000,New development,2768,4,4,4,Battersea,London,SW11 4XW,1065.7514450867052
Southlands Drive,585000,Flat / Apartment,784,2,2,2,Wimbledon,London,SW19 5QF,746.1734693877551
Smith Terrace,2975000,House,2041,3,3,3,Chelsea,London,SW3 4DL,1457.6188143067125
The Close,680000,House,1125,3,3,3,Richmond,Surrey,TW9 4QW,604.4444444444445
Thornton Place,899000,New development,982,2,2,2,Clapham Common North Side,London,SW4 0AB,915.4786150712831
Shaftesbury,675000,House,1153,4,4,4,Loughton,Essex,IG10 1HN,585.429314830876
Upshirebury Green,475000,House,890,2,2,2,Waltham Abbey,Essex,EN9 3SU,533.7078651685393
Coppice Row,1265000,House,2568,5,5,5, Epping,Essex,CM16 7DN,492.601246105919
Stokesheath Road,3500000,House,11077,6,6,6,Oxshott,Surrey,KT22 0PS,315.9700279859168
Holland Street,3500000,House,2401,4,4,4,Unknown,London,W8 4NA,1457.725947521866
John Spencer Square,599995,Flat / Apartment,528,1,1,1,Unknown,London,N1 2LZ,1136.3541666666667
Kingsland Road,550000,Flat / Apartment,736,2,2,2,Hackney,London,E8 4EG,747.2826086956521
Calbourne Road,1325000,House,1595,4,4,4,Unknown,London,SW12 8LW,830.7210031347962
Balham Park Road,2400000,House,2850,6,6,6,Unknown,London,SW12 8DZ,842.1052631578947
Streathbourne Road,2500000,House,3525,6,6,6,Unknown,London,SW17 8QY,709.2198581560284
Phoenix Wharf,1150000,Flat / Apartment,1302,2,2,2, Limehouse,London,E14 8DQ,883.2565284178187
Lock Side Way,550000,New development,1023,2,2,2,Royal Albert Wharf,London,E16 2QJ,537.6344086021505
City Walk Apartments,690000,Flat / Apartment,753,2,2,2, Clerkenwell,London,EC1V 3RF,916.3346613545817
Worship Street,1175000,Flat / Apartment,949,2,2,2,Clerkenwell,London,EC2A 2AH,1238.145416227608
Thornton Avenue,2000000,House,2222,5,5,5,Chiswick,London,W4 1QG,900.0900090009001
Bishops Gate,1045000,New development,810,2,2,2, Fulham High Street,Fulham,SW6 3LF,1290.1234567901236
Yvon House,699950,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4GA,825.4127358490566
Holden Street,900000,House,1223,3,3,3,Battersea,London,SW11 5UP,735.8953393295176
Matthews Street,875000,House,1061,3,3,3,Battersea,London,SW11 5AB,824.693685202639
King Edwards Road,1695000,House,1938,4,4,4,South Hackney,London,E9 7SF,874.6130030959753
Lords View,845000,Flat / Apartment,960,2,2,2, St. John's Wood,London,NW8 7HL,880.2083333333334
Sovereign Mews,850000,House,1213,4,4,4, Hackney,London,E2 8ER,700.7419620774938
Princelet Street,2000000,Flat / Apartment,2401,3,3,3,Unknown,Spitalfields,E1 6QH,832.9862557267805
Eaton Square,3250000,Flat / Apartment,1509,1,1,1,Belgravia,London,SW1W 9DF,2153.744201457919
Egbert Street,1750000,Flat / Apartment,1239,3,3,3,Primrose Hill,London,NW1 8LJ,1412.4293785310736
Heathside Close,1250000,House,1880,4,4,4,Moor Park,Middlesex,HA6 2EQ,664.8936170212766
Birchside Apartments,550000,New development,562,1,1,1, Queens Park,London,NW6 5FS,978.6476868327402
Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD,802.1390374331551
Portman Mansions,1095000,Flat / Apartment,945,1,1,1, Marylebone,London,W1U 6NT,1158.7301587301588
Upshirebury Green,1195000,House,2737,4,4,4,Waltham Abbey,Essex,EN9 3ST,436.60942637924734
Eldon Grove,1100000,Flat / Apartment,985,3,3,3,Hampstead,London,NW3 5PT,1116.751269035533
Frognal Lane,3000000,Flat / Apartment,2427,4,4,4,Hampstead,London,NW3 7DU,1236.0939431396787
Pursers Cross Road,2150000,House,2416,5,5,5,Fulham,London,SW6 4QZ,889.9006622516556
Temple Sheen Road,1800000,House,2129,5,5,5,East Sheen,London,SW14 7RS,845.4673555659934
Spencer Gardens,1295000,House,1248,3,3,3,Unknown,London,SW14 7AH,1037.6602564102564
Graveney Road,1125000,House,2137,5,5,5,Unknown,London,SW17 0EG,526.4389330837623
Ravenswood Road,1025000,House,1556,4,4,4,Unknown,London,SW12 9PN,658.7403598971722
Foxbourne Road,1675000,House,2346,5,5,5,Unknown,London,SW17 8EW,713.9812446717817
Weltje Road,2750000,House,3251,7,7,7,Ravenscourt Park,London,W6 9LT,845.8935712088588
Finborough Road,500000,Flat / Apartment,670,1,1,1,Unknown,London,SW10 9DA,746.2686567164179
Dewhurst Road,2520000,House,2638,5,5,5,Brook Green,London,W14 0ES,955.2691432903715
Sinclair Road,865000,Flat / Apartment,1023,2,2,2,Unknown,London,W14 0NP,845.5522971652003
Lurline Gardens,700000,Flat / Apartment,875,2,2,2,Battersea,London,SW11 4DB,800.0
Orbel Street,1350000,House,1295,3,3,3,Battersea,London,SW11 3NX,1042.4710424710424
Riverwalk,3450000,Flat / Apartment,1215,2,2,2, Westminster,London,SW1P 4FA,2839.5061728395062
Birdhurst Road,775000,Flat / Apartment,1066,3,3,3,Unknown,London,SW18 1AR,727.016885553471
Wilna Road,1195000,House,1697,4,4,4,Unknown,London,SW18 3AY,704.1838538597525
Bradstock Road,725000,Penthouse,1200,3,3,3,Hackney,London,E9 5BZ,604.1666666666666
Ashby Street,700000,Flat / Apartment,606,2,2,2,Clerkenwell,London,EC1V 0ED,1155.1155115511551
Seward Street,695000,Flat / Apartment,796,2,2,2,Clerkenwell,London,EC1V 3PA,873.1155778894472
Moor Lane,1299000,Flat / Apartment,827,2,2,2,City Of London,London,EC2Y 9BA,1570.7376058041114
Hans Road,5950000,Flat / Apartment,2817,3,3,3,Knightsbridge,London,SW3 1RW,2112.1760738374155
Richmond Hill,595000,Flat / Apartment,786,2,2,2,Richmond,Surrey,TW10 6QX,756.9974554707379
Onslow Avenue,2100000,House,2296,4,4,4,Richmond,Surrey,TW10 6QB,914.6341463414634
Rotherwood Road,1475000,House,1894,4,4,4,Putney,London,SW15 1LA,778.7750791974656
Larpent Avenue,2950000,House,3336,7,7,7,Putney,London,SW15 6UU,884.2925659472422
Granard Road,450000,Flat / Apartment,570,2,2,2,Unknown,London,SW12 8UJ,789.4736842105264
Worcester Gardens,550000,Flat / Apartment,672,2,2,2,Unknown,London,SW11 6LR,818.452380952381
Pall Mall,2250000,Flat / Apartment,1297,2,2,2,St James's,London,SW1Y 5JH,1734.7725520431766
Connaught Avenue,2750000,House,4925,6,6,6,Loughton,Essex,IG10 4DS,558.3756345177665
Wollaton House,599950,Flat / Apartment,734,1,1,1, Islington,London,N1 0EY,817.3705722070845
Aberdeen Road,650000,Flat / Apartment,667,1,1,1,Unknown,London,N5 2XA,974.512743628186
Sandilands Road,850000,House,900,2,2,2,Fulham,London,SW6 2BD,944.4444444444445
Edenvale Street,825000,Flat / Apartment,1027,3,3,3,Fulham,London,SW6 2SF,803.3106134371957
Linver Road,1850000,House,1678,5,5,5,Fulham,London,SW6 3RB,1102.502979737783
Doulton House,1750000,Flat / Apartment,1390,3,3,3,11 Park Street,London,SW6 2FT,1258.9928057553957
Lilyville Road,3150000,House,3100,5,5,5,Fulham,London,SW6 5DP,1016.1290322580645
Second Avenue,599950,Flat / Apartment,1128,3,3,3,Acton,London,W3 7RX,531.8705673758865
St. Marys Road,1995000,House,3605,6,6,6, Surbiton,Surrey,KT6 5EU,553.3980582524272
Ember Lane,1595000,House,3304,6,6,6,Esher,Surrey,KT10 8DZ,482.74818401937046
Cornwall Gardens,1195000,Flat / Apartment,752,2,2,2,Unknown,London,SW7 4BA,1589.095744680851
Sheen Common Drive,2650000,House,2229,4,4,4,Richmond,Surrey,TW10 5BN,1188.8739344997757
Aberdeen Wharf,950000,Flat / Apartment,973,2,2,2,94 Wapping High Street,London,E1W 2ND,976.3617677286742
Bishops Gate,1050000,New development,817,2,2,2,82-88 Fulham High Street,London,SW6 3LF,1285.1897184822521
Bishops Gate,695000,New development,678,2,2,2,82-88 Bishops Gate,Fulham High Street,SW6 3LF,1025.0737463126843
Montem Terrace,3895000,New development,4453,6,6,6,35A Arterberry Road,London,SW20 8AG,874.69121940265
Belvedere Heights,425000,Flat / Apartment,502,1,1,1, St. John's Wood,London,NW8 8HZ,846.6135458167331
Ashley Gardens,1300000,House,2484,4,4,4,Richmond,Surrey,TW10 7BU,523.3494363929146
West Hill,439000,Flat / Apartment,670,2,2,2,Putney,London,SW15 2UF,655.223880597015
Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH,1641.1378555798688
Lynette Avenue,599950,Flat / Apartment,689,1,1,1,Unknown,London,SW4 9HD,870.7547169811321
Ronalds Road,1500000,House,1327,4,4,4,Highbury,London,N5 1XB,1130.3692539562924
Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX,1218.3235867446394
Tottenham Road,499999,Flat / Apartment,700,1,1,1,De Beauvoir,London,N1 4BD,714.2842857142857
Hertford Road,435000,Flat / Apartment,565,1,1,1,Unknown,London,N1 5SH,769.9115044247787
Dartmouth Park Road,850000,Flat / Apartment,743,2,2,2,Unknown,London,NW5 1SN,1144.0107671601615
The Chase,2695000,House,3125,4,4,4,Unknown,London,SW4 0NH,862.4
Wavendon Avenue,2250000,House,2389,5,5,5,Chiswick,London,W4 4NR,941.816659690247
Chiswick,1700000,House,2033,5,5,5,Unknown,London,W4 3HA,836.2026561731432
Old Brompton Road,3450000,House,2160,4,4,4,Unknown,London,SW7 3RA,1597.2222222222222
Castelnau,3250000,House,3098,5,5,5,Barnes,London,SW13 9ET,1049.0639122014202
Dorville Crescent,650000,Flat / Apartment,650,2,2,2,Unknown,London,W6 0HJ,1000.0
Television Centre,1395000,Flat / Apartment,981,2,2,2,101 Wood Lane,London,W12 7FT,1422.0183486238532
Alexander Court,475000,Flat / Apartment,705,2,2,2,Wandsworth Common West Side,London,SW18 2EJ,673.7588652482269
Hotham Road,1250000,House,1810,3,3,3,Putney,London,SW15 1QJ,690.6077348066299
Danemere Street,1150000,House,1468,3,3,3,Putney,London,SW15 1LT,783.3787465940054
Meadowbank,625000,House,1213,4,4,4, Watford,Hertfordshire,WD19 4NP,515.2514427040396
Copperbeech Court,575000,Flat / Apartment,1092,2,2,2, Northwood,Middlesex,HA6 2YJ,526.5567765567765
North Side Wandsworth Common,695000,Flat / Apartment,815,2,2,2,Unknown,London,SW18 2SL,852.760736196319
Manchuria Road,2100000,House,2325,5,5,5,Unknown,London,SW11 6AE,903.2258064516129
Mandalay Road,750000,Flat / Apartment,838,2,2,2,Unknown,London,SW4 9ED,894.9880668257756
Shelgate Road,1399000,House,1456,3,3,3,Battersea,London,SW11 1BQ,960.8516483516484
Pearson Square,4750000,Penthouse,1774,3,3,3,Fitzrovia,London,W1T 3BJ,2677.564825253664
Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP,1155.4088369730828
Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET,913.165905631659
Palewell Park,1995000,House,2707,5,5,5,East Sheen,London,SW14 8JH,736.9782046545992
Kings Road,899000,House,1109,3,3,3,Unknown,London,SW14 8PF,810.6402164111812
Richmond Park Road,1575000,House,2050,5,5,5,Unknown,London,SW14 8JU,768.2926829268292
Osprey Court,850000,Flat / Apartment,655,1,1,1,Star Place,London,E1W 1AG,1297.7099236641222
Fernside Road,1250000,House,1683,4,4,4,Unknown,London,SW12 8LN,742.721330956625
Paddenswick Road,3750000,House,3391,5,5,5,Ravenscourt Park,London,W6 0UA,1105.8684753759953
Bollo Lane,995000,House,1423,5,5,5,Chiswick,London,W4 5LT,699.2269852424455
Devonshire Road,850000,House,1163,3,3,3,Chiswick,London,W4 2HD,730.8684436801376
Grove Court,2400000,Flat / Apartment,1898,4,4,4,Drayton Gardens,London,SW10 9QY,1264.4889357218124
Kathleen Road,599950,Flat / Apartment,830,3,3,3,Battersea,London,SW11 2JR,722.8313253012049
Huntspill Street,875000,House,1334,5,5,5,Unknown,London,SW17 0AA,655.9220389805098
Eamont Court,675000,Flat / Apartment,602,2,2,2, St. Johns Wood,London,NW8 7DG,1121.2624584717607
Murray Street,735000,Flat / Apartment,953,2,2,2,Camden,London,NW1 9RE,771.2486883525709
Mandalay Road,925000,Flat / Apartment,1082,2,2,2,Unknown,London,SW4 9ED,854.898336414048
Mapesbury Road,1300000,House,2547,5,5,5,Brondesbury,London,NW2 4HJ,510.4043973301924
Birds Hill Road,7500000,House,12526,7,7,7,Oxshott,Surrey,KT22 0NJ,598.7545904518602
Hereford Square,7450000,House,3997,6,6,6,South Kensington,London,SW7 4TS,1863.897923442582
Wilton Place,8250000,House,3188,5,5,5,Belgravia,London,SW1X 8RL,2587.8293601003766
College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT,1082.7305605786619
Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL,740.7407407407408
Canonbury Park South,2550000,House,2241,5,5,5,Canonbury,London,N1 2JG,1137.8848728246319
Upper Place,600000,New development,721,2,2,2, Clapton,London,E5 9BU,832.1775312066575
City Mills Apartments,590000,Flat / Apartment,702,2,2,2,Lee Street,London,E8 4FB,840.4558404558404
Eagle Mews,550000,House,674,2,2,2,Tottenham Road,London,N1 4ST,816.0237388724036
Brookville Road,1650000,House,1716,5,5,5, Fulham,London,SW6 7BH,961.5384615384615
Culmington Road,1250000,House,1700,4,4,4,Ealing,London,W13 9NB,735.2941176470588
Ravens Close,475000,Flat / Apartment,645,2,2,2,Surbiton,Surrey,KT6 4QG,736.4341085271318
Pavilion Park,425000,New development,603,1,1,1, East Molesey,Surrey,KT8 9DX,704.8092868988391
Liberty House,599000,Flat / Apartment,830,2,2,2,Ensign Street,London,E1 8JA,721.6867469879518
Chestnut Grove,1325000,House,1800,4,4,4,Unknown,London,SW12 8JG,736.1111111111111
Cottenham Park Road,1350000,Flat / Apartment,1862,3,3,3,Wimbledon,London,SW20 0RZ,725.0268528464018
Craven Gardens,1225000,House,1681,4,4,4,Wimbledon,London,SW19 8LU,728.7328970850684
Southlands Drive,650000,Flat / Apartment,779,2,2,2,Wimbledon,London,SW19 5QH,834.403080872914
Springfield Road,6950000,House,3911,6,6,6,St. John's Wood,London,NW8 0QN,1777.0391204295577
Loudoun Road,4495000,House,2607,4,4,4,St. John's Wood,London,NW8 0LT,1724.2040659762179
Norfolk Mansions,599950,Flat / Apartment,969,3,3,3, Putney,London,SW18 1NU,619.1434468524252
The Glass House,465000,Flat / Apartment,461,1,1,1, Putney,London,SW15 1PR,1008.6767895878525
Harley Road,749950,Flat / Apartment,650,2,2,2,Unknown,London,NW3 3BN,1153.7692307692307
Altenburg Gardens,1050000,Flat / Apartment,1155,2,2,2,Unknown,London,SW11 1JL,909.0909090909091
Harbut Road,650000,Flat / Apartment,684,2,2,2,Unknown,London,SW11 2RB,950.2923976608187
Lavender Gardens,775000,Flat / Apartment,928,2,2,2,Unknown,London,SW11 1DN,835.1293103448276
Basilica Mews,2100000,New development,2132,4,4,4,Unknown,Thurleigh Road,SW12 8UF,984.9906191369606
Kings Hill,1075000,House,2096,4,4,4,Loughton,Essex,IG10 1HY,512.8816793893129
Oakley Road,625000,Flat / Apartment,676,1,1,1,Unknown,London,N1 3LL,924.5562130177515
The Pryors,1800000,Flat / Apartment,1405,3,3,3, Hampstead,London,NW3 1BS,1281.1387900355871
Gosberton Road,775000,Flat / Apartment,1368,3,3,3,Unknown,London,SW12 8LG,566.5204678362574
Chiswick High Road,2050000,New development,2875,4,4,4,Chiswick,London,W4 5RG,713.0434782608696
Lonsdale Road,775000,Flat / Apartment,936,2,2,2,Barnes,London,SW13 9PY,827.991452991453
Dalebury Road,885000,Flat / Apartment,1258,2,2,2,Unknown,London,SW17 7HH,703.4976152623211
Rosenau Road,2400000,House,2803,6,6,6,Battersea,London,SW11 4QX,856.2254727078131
Circle Gardens,825000,House,1388,3,3,3,Wimbledon,London,SW19 3JU,594.3804034582132
Queens Road,2250000,House,2946,4,4,4,Kingston upon Thames,Surrey,KT2 7SN,763.7474541751527
Vanderbilt Road,1125000,House,1566,5,5,5,Unknown,London,SW18 3BG,718.3908045977012
Alma Road,1000000,House,1306,4,4,4,Wandsworth,London,SW18 1AH,765.6967840735069
Kennet House,350000,Flat / Apartment,670,2,2,2, Lisson Grove,London,NW8 8HB,522.3880597014926
Church Road,600000,House,1041,2,2,2,Northwood,Middlesex,HA6 1AR,576.3688760806916
Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW,1966.1387220098306
Roseneath Road,2050000,House,2202,3,3,3,Unknown,London,SW11 6AG,930.9718437783832
Cologne Road,765000,Duplex,992,2,2,2,St John's Hill,London,SW11 2AJ,771.1693548387096
Randolph Avenue,1675000,Flat / Apartment,1101,2,2,2,Little Venice,London,W9 1DW,1521.3442325158946
Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW,1372.255489021956
Harley Place,1350000,Mews,993,2,2,2,Marylebone,London,W1G 8QE,1359.5166163141994
Victoria Road,8850000,House,3813,5,5,5,Unknown,London,W8 5RF,2321.0070810385523
Edwardes Square,3850000,House,2285,4,4,4,Unknown,London,W8 6HE,1684.9015317286653
Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU,985.4158454867954
Tollington Way,575000,New development,840,2,2,2, London,N7 6QX,N7 6RG,684.5238095238095
Compton Avenue,4650000,House,4653,7,7,7,Highgate,London,N6 4LH,999.3552546744036
New Road,4950000,House,7043,6,6,6,Esher,Surrey,KT10 9PG,702.8255004969474
Pavilion Park,555000,New development,753,2,2,2, East Molesey,Surrey,KT8 9DX,737.0517928286853
Courtfield Gardens,3750000,Flat / Apartment,1902,4,4,4,Unknown,London,SW5 0PH,1971.608832807571
Buxton Road,1050000,House,1338,3,3,3,Unknown,London,SW14 8SY,784.7533632286995
Newark Street,1775000,House,2200,4,4,4,Unknown,London,E1 2AA,806.8181818181819
Lime Quarter,550000,New development,773,2,2,2,Bow,London,E3 3PJ,711.5135834411384
Marlborough Road,2700000,House,2953,7,7,7,Chiswick,London,W4 4ET,914.3244158482898
Chiswick Village,399950,Flat / Apartment,580,2,2,2,Gunnersbury,London,W4 3BY,689.5689655172414
Carlton House,595000,New development,545,1,1,1,Carlton Drive,London,SW15 2BS,1091.7431192660551
Fulham Road,3200000,House,2988,4,4,4,Unknown,London,SW10 9TU,1070.95046854083
Siddal Apartments,675000,Flat / Apartment,778,2,2,2, Elephant Park,London,SE17 1FQ,867.6092544987147
Darlaston Road,765000,New development,864,2,2,2,Wimbledon,London,SW19 4LF,885.4166666666666
Tranmere Road,800000,Flat / Apartment,1428,4,4,4,Unknown,London,SW18 3QT,560.2240896358544
